Key,AverageHoldTime
a,0.12036086453331836
b,0.08013860384623205
c,0.09903676169259203
d,0.10900113799355243
e,0.1101579223711466
f,0.11149962743123366
g,0.10327645142873125
h,0.08639042079448697
i,0.09840662138802661
k,0.1237579186757405
l,0.0972697257995605
m,0.08600670099258417
n,0.10615197420120237
o,0.10365062601426066
p,0.10609623789787288
q,0.119807481765747
r,0.0987452727097731
s,0.11216637221249665
t,0.08660521714583687
u,0.09858686583382739
v,0.1176867485046386
w,0.13287156820297238
y,0.10377388530307344
z,0.08987021446228025
